"seed","mt_time","mef_time","mt_miscl","mef_miscl","mt_fe","mef_fe","config"
67,0.112999999983003,1625.685,0,0.333333333333333,0.976943612644826,0.839112695866976,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
68,0.0909999999857973,3761.198,0,0.533333333333333,0.975253305958758,0.747918535360726,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
69,0.100000000005821,4324.49299999999,0,0.466666666666667,0.972053488521882,0.647514064194592,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
70,0.10899999999674,4227.644,0,0.6,0.982006865943648,0.731269426141177,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
71,0.106999999989057,705.736999999994,0,0.6,0.953526148804945,0.751097201876024,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
72,0.0970000000088476,2195.424,0,0.4,0.977282363960107,0.671810450810526,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
73,0.0969999999797437,1892.448,0,0.466666666666667,0.971345635673511,0.718422903931043,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
74,0.103999999992084,5364.33600000001,0,0.533333333333333,0.96527631989858,0.664277762985941,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
75,0.106999999989057,3945.79200000002,0,0.333333333333333,0.963111816103778,0.769964984205081,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
76,0.0940000000118744,2529.53700000001,0,0.4,0.945194651091405,0.783838395317841,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
77,0.0929999999934807,3456.77300000002,0,0.333333333333333,0.972297161425992,0.90238716328385,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
78,0.130000000004657,1635.26300000001,0,0.333333333333333,0.9673298667136,0.66512496007254,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
79,0.113000000012107,2113.04599999997,0,0.6,0.975172350245173,0.907235700167303,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
80,0.0979999999981374,824.880999999994,0,0.6,0.976802821432398,0.740095856986603,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
81,0.100000000034925,2770.89900000003,0,0.4,0.978661516952101,0.724404752894172,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
82,0.0989999999874271,2714.489,0,0.6,0.97348594443632,0.865134136630302,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
83,0.0949999999720603,2939.06999999995,0,0.533333333333333,0.982097444921065,0.79249393373694,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
84,0.0979999999981374,569.591000000015,0,0.466666666666667,0.978022304650468,0.557930510726992,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
85,0.115999999979977,3048.70000000001,0,0.333333333333333,0.981233681663027,0.85888516977954,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
86,0.0970000000088476,2481.56899999996,0,0.466666666666667,0.981603837817612,0.845156052266084,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
87,0.115999999979977,2162.277,0,0.533333333333333,0.97661131876837,0.583073231856956,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
88,0.114000000001397,3620.25599999999,0,0.466666666666667,0.972450681946429,0.790754118721176,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
89,0.12400000001071,3562.91000000003,0,0.4,0.973081090367688,0.834246382406356,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
90,0.112000000022817,1417.95299999998,0,0.4,0.979300912643055,0.575982359571366,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
91,0.117999999958556,3903.962,0,0.466666666666667,0.972733346367218,0.626927412033585,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
92,0.0979999999981374,1117.27299999999,0,0.533333333333333,0.978257223458946,0.75009755371723,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
93,0.0989999999874271,2340.63800000004,0,0.6,0.982989247939262,0.883951744300208,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
94,0.106999999959953,2452.75999999995,0,0.4,0.980433594138616,0.601891221279842,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
95,0.102000000013504,1191.42700000003,0,0.466666666666667,0.973760318226779,0.645869900616421,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
96,0.0970000000088476,3064.82500000001,0,0.533333333333333,0.972602104610806,0.669701909315695,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
97,0.11199999996461,3499.94500000001,0,0.466666666666667,0.92593245036127,0.6666486145408,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
98,0.0979999999981374,5462.19099999999,0,0.533333333333333,0.975957309267827,0.786867285374255,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
99,0.0939999999827705,526.651000000013,0,0.4,0.970236353711162,0.65391432548541,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
100,0.103000000002794,2956.35100000002,0,0.466666666666667,0.978033091043279,0.708572263372974,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
